Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5311	110.3078003	2.736929893	-35.75368118	3.313213529e-002
5312	23.6689415	2.482987881	-109.526268	8.795372196e-003
5313	35.2793808	3.512082577	122.1390533	8.348240954e-003
5314	-0.966620028	2.876844406	118.0487976	7.331601864e-003
5315	9.252690315	2.209183216	-107.2897491	8.169044122e-003
5316	101.289566	2.799965143	58.37346268	2.561591464e-002
5317	98.80360413	2.296092033	-46.25054169	2.722353565e-002
5318	-0.9105004072	1.868514895	-101.9903641	7.748545613e-003
5319	102.8300247	2.419284582	41.9400444	2.915208097e-002
5320	-10.28947258	1.69738543	-98.47479248	7.242572792e-003
5321	-33.4874115	3.47563839	-122.1206818	5.924265679e-003
5322	-27.34680367	3.559831142	-124.8281403	6.072938049e-003
5323	-14.31595039	3.329226732	-123.7612076	6.614438917e-003
5324	-7.575128078	3.241899014	-123.1193237	6.891546036e-003
5325	11.53564262	3.587567091	-127.6481094	7.254363936e-003
5326	17.06981468	3.512007236	-125.9799194	7.522214219e-003
5327	22.16006088	3.436761856	-124.1271896	7.804913366e-003
5328	27.11773682	3.314901352	-121.3927841	8.170986803e-003
5329	38.4227562	3.702451706	-123.9088516	8.362943845e-003
5330	37.051754	3.112319469	-115.7100677	9.024410247e-003
5331	92.59667206	3.234360456	-81.33381653	1.889354098e-002
5332	97.51163483	3.256644487	-75.8874588	2.096251592e-002
5333	101.7818604	3.296955109	-71.05731964	2.296366802e-002
5334	109.6316071	3.445653677	-62.53557968	2.700956793e-002
5335	115.1879807	3.44315958	-51.50512695	3.151252167e-002
5336	119.7154617	3.62325716	-47.12101364	3.41611194e-002
5337	117.7705841	3.345448971	-41.33668137	3.485535126e-002
5338	118.4973831	3.241209269	-34.23014832	3.663977623e-002
5339	119.2061386	3.270398378	33.24938202	3.699750232e-002
5340	117.9398117	3.307675123	39.19766617	3.526708315e-002
5341	117.5937271	3.490155697	47.51269913	3.320722317e-002
5342	108.2557144	3.315746069	61.28001785	2.691239206e-002
5343	104.8254929	3.499868155	71.63375092	2.351089097e-002
5344	100.1809464	3.317947149	73.79724121	2.197912181e-002
5345	20.79834175	3.529088736	125.6567001	7.616461971e-003
5346	8.973693848	3.605082989	128.0935822	7.117814221e-003
5347	-3.000130892	3.400141239	125.5439911	6.914329333e-003
5348	-9.848571777	3.374502897	124.8337021	6.732503607e-003
5349	-80.6993103	3.302890062	94.43045044	4.921283562e-003
5350	-86.05989838	3.336870432	90.23448181	4.81207644e-003
5351	-94.44433594	3.353775501	81.7806778	4.660734248e-003
5352	-98.67286682	3.453014135	78.86221313	4.569145403e-003
5353	-105.2429886	3.464339256	70.13689423	4.470931799e-003
5354	-106.8886642	3.120588064	58.0124321	4.523610642e-003
5355	-110.0259018	3.148541927	52.75311279	4.481141787e-003
5356	-117.6477966	3.407484055	44.21563721	4.330214324e-003
5357	-121.9831314	3.470964193	33.74317551	4.257645287e-003
5358	-123.2683411	3.38437438	22.80259705	4.249646281e-003
5359	-122.9798889	3.299080372	17.09047127	4.26748602e-003
5360	-122.2272415	3.199407101	11.28467083	4.294606242e-003
5361	-124.5640869	3.328922272	2.122206926	4.232236279e-003
5362	-125.0968018	3.368815899	-3.362752676	4.213453394e-003
