Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
8635	154.5576324	6.598054886	-55.57878494	-2.030482392e-003
8636	162.0102844	7.351272106	-58.0457077	-1.027084409e-003
8637	83.23588562	5.244838238	-123.7200012	-1.33027288e-002
8638	134.2806091	4.495922565	-39.73750305	-2.566262083e-003
8639	56.64138412	3.949753046	-120.3665543	-1.047822298e-002
8640	108.1040497	6.574959278	-123.3273697	-1.508888363e-002
8641	102.8036957	5.812699795	-116.8600235	-1.447268369e-002
8642	105.9067993	3.378857851	-66.92876434	-8.534454537e-003
8643	172.8717499	12.65952015	-135.4039307	-7.039503089e-003
8644	160.829895	8.980333328	-97.25874329	-8.780493772e-003
